title,date,author,link,category,website
"6 Potret Kayla Kalaoun Bintang Cilik Sinetron Pelangi untuk Nirmala, Jago Akting dan Main Ice Skating",30 Maret 2022 16:30 WIB,Panditio Rayendra,https://www.liputan6.com/showbiz/read/4924987/6-potret-kayla-kalaoun-bintang-cilik-sinetron-pelangi-untuk-nirmala-jago-akting-dan-main-ice-skating,biasa,liputan.com
Malaysia dan Indonesia Siap Teken Pembaruan MoU Perlindungan PRT 1 April 2022,30 Maret 2022 16:28 WIB,Tanti Yulianingsih,https://www.liputan6.com/global/read/4925257/malaysia-dan-indonesia-siap-teken-pembaruan-mou-perlindungan-prt-1-april-2022,biasa,liputan.com
"Tata Cara Sholat Dhuha Dilengkapi Bacaan Niat dan Doa, serta Manfaat Menakjubkannya",30 Maret 2022 16:24 WIB,Erik Erfinanto,https://www.liputan6.com/citizen6/read/4586621/tata-cara-sholat-dhuha-dilengkapi-bacaan-niat-dan-doa-serta-manfaat-menakjubkannya,biasa,liputan.com
Pekerja Perempuan Banyak Terima Kekerasan dan Ketidakadilan Saat Pandemi Covid-19,30 Maret 2022 16:20 WIB,Pramita Tristiawati,https://www.liputan6.com/bisnis/read/4925323/pekerja-perempuan-banyak-terima-kekerasan-dan-ketidakadilan-saat-pandemi-covid-19,biasa,liputan.com
Jokowi Senang Vaksinasi Covid-19 di Ponpes API Magelang Sudah 100 Persen,30 Maret 2022 16:20 WIB,Lizsa Egeham,https://www.liputan6.com/news/read/4925344/jokowi-senang-vaksinasi-covid-19-di-ponpes-api-magelang-sudah-100-persen,biasa,liputan.com
Rupiah Menguat Berkat Realisasi Belanja Pemerintah Membaik,30 Maret 2022 16:20 WIB,Liputan6.com,https://www.liputan6.com/bisnis/read/4925329/rupiah-menguat-berkat-realisasi-belanja-pemerintah-membaik,biasa,liputan.com
"Viral Nenek 87 Tahun Punya Jantung Sehat Bak Usia 40, Rahasianya Sederhana",30 Maret 2022 16:20 WIB,Loudia Mahartika,https://hot.liputan6.com/read/4925174/viral-nenek-87-tahun-punya-jantung-sehat-bak-usia-40-rahasianya-sederhana,biasa,liputan.com
"Medina Zein Buka-bukaan Alasan Lepas Hijab, dari Penyakit Mental hingga PHK 97 Karyawan",30 Maret 2022 16:20 WIB,Wayan Diananto,https://www.liputan6.com/showbiz/read/4924861/medina-zein-buka-bukaan-alasan-lepas-hijab-dari-penyakit-mental-hingga-phk-97-karyawan,biasa,liputan.com
1.425 Calon Mahasiswa Lolos SNMPTN 2022 di Unair Surabaya,30 Maret 2022 16:15 WIB,Liputan6.com,https://www.liputan6.com/news/read/4925294/1425-calon-mahasiswa-lolos-snmptn-2022-di-unair-surabaya,biasa,liputan.com
Doa Menolak Bala dan Dijauhkan dari Berbagai Musibah,30 Maret 2022 16:12 WIB,Camelia,https://www.liputan6.com/ramadan/read/4240480/doa-menolak-bala-dan-dijauhkan-dari-berbagai-musibah,biasa,liputan.com
"Awas, 95 Persen Platform Pinjaman Online Berstatus Ilegal",30 Maret 2022 16:10 WIB,Liputan6.com,https://www.liputan6.com/bisnis/read/4925318/awas-95-persen-platform-pinjaman-online-berstatus-ilegal,biasa,liputan.com
"Sukses dengan Sinetron, Ini 6 Potret Cuplikan DJS The Movie: Biarkan Aku Menari",30 Maret 2022 16:10 WIB,Selma Intania Hafidha,https://hot.liputan6.com/read/4925184/sukses-dengan-sinetron-ini-6-potret-cuplikan-djs-the-movie-biarkan-aku-menari,biasa,liputan.com
"PPN Saham Jadi 11 Persen, Indo Premier Tak Naikkan Fee Transaksi",30 Maret 2022 16:05 WIB,Agustina Melani,https://www.liputan6.com/saham/read/4925325/ppn-saham-jadi-11-persen-indo-premier-tak-naikkan-fee-transaksi,biasa,liputan.com
