Tanggal : 29-04-2022 10:43:35 | Waktu Scraping Tribunnews.com : 5.041454315185547 detik | Banyak row : 58 | Banyak column : 7 
Tanggal : 29-04-2022 10:43:35 | Waktu Scraping Detik.com : 103.15047001838684 detik | Banyak row : 47 | Banyak column : 7 
Tanggal : 29-04-2022 10:43:35 | Waktu Scraping Total Waktu Scraping Ketiga Website : 175.5346610546112 detik | Banyak row : 188 | Banyak column : 7.0 
Tanggal : 29-04-2022 11:43:37 | Waktu Scraping Liputan6.com : 59.638431549072266 detik | Banyak row : 82 | Banyak column : 7 
Tanggal : 29-04-2022 11:43:37 | Waktu Scraping Tribunnews.com : 5.445844650268555 detik | Banyak row : 58 | Banyak column : 7 
Tanggal : 29-04-2022 11:43:37 | Waktu Scraping Detik.com : 111.46406245231628 detik | Banyak row : 49 | Banyak column : 7 
Tanggal : 29-04-2022 11:43:37 | Waktu Scraping Total Waktu Scraping Ketiga Website : 176.5483386516571 detik | Banyak row : 189 | Banyak column : 7.0 
Tanggal : 29-04-2022 12:43:39 | Waktu Scraping Liputan6.com : 61.6085524559021 detik | Banyak row : 83 | Banyak column : 7 
Tanggal : 29-04-2022 12:43:39 | Waktu Scraping Tribunnews.com : 6.513904333114624 detik | Banyak row : 61 | Banyak column : 7 
Tanggal : 29-04-2022 12:43:39 | Waktu Scraping Detik.com : 110.13209366798401 detik | Banyak row : 50 | Banyak column : 7 
Tanggal : 29-04-2022 12:43:39 | Waktu Scraping Total Waktu Scraping Ketiga Website : 178.25455045700073 detik | Banyak row : 194 | Banyak column : 7.0 
Tanggal : 29-04-2022 13:43:42 | Waktu Scraping Liputan6.com : 55.82154989242554 detik | Banyak row : 82 | Banyak column : 7 
Tanggal : 29-04-2022 13:43:42 | Waktu Scraping Tribunnews.com : 5.10376501083374 detik | Banyak row : 59 | Banyak column : 7 
Tanggal : 29-04-2022 13:43:42 | Waktu Scraping Detik.com : 111.6278076171875 detik | Banyak row : 50 | Banyak column : 7 
Tanggal : 29-04-2022 13:43:42 | Waktu Scraping Total Waktu Scraping Ketiga Website : 172.55312252044678 detik | Banyak row : 191 | Banyak column : 7.0 
Tanggal : 29-04-2022 14:43:44 | Waktu Scraping Liputan6.com : 115.60571265220642 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 29-04-2022 14:43:44 | Waktu Scraping Tribunnews.com : 5.125013113021851 detik | Banyak row : 61 | Banyak column : 7 
Tanggal : 29-04-2022 14:43:44 | Waktu Scraping Detik.com : 109.01740503311157 detik | Banyak row : 44 | Banyak column : 7 
Tanggal : 29-04-2022 14:43:44 | Waktu Scraping Total Waktu Scraping Ketiga Website : 229.74813079833984 detik | Banyak row : 189 | Banyak column : 7.0 
Tanggal : 29-04-2022 15:43:46 | Waktu Scraping Liputan6.com : 57.855000257492065 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 29-04-2022 15:43:46 | Waktu Scraping Tribunnews.com : 5.3406078815460205 detik | Banyak row : 59 | Banyak column : 7 
Tanggal : 29-04-2022 15:43:46 | Waktu Scraping Detik.com : 100.30930399894714 detik | Banyak row : 48 | Banyak column : 7 
Tanggal : 29-04-2022 15:43:46 | Waktu Scraping Total Waktu Scraping Ketiga Website : 163.50491213798523 detik | Banyak row : 191 | Banyak column : 7.0 
Tanggal : 29-04-2022 16:43:48 | Waktu Scraping Liputan6.com : 80.19879865646362 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 29-04-2022 16:43:48 | Waktu Scraping Tribunnews.com : 7.3097686767578125 detik | Banyak row : 61 | Banyak column : 7 
Tanggal : 29-04-2022 16:43:48 | Waktu Scraping Detik.com : 107.55881810188293 detik | Banyak row : 47 | Banyak column : 7 
Tanggal : 29-04-2022 16:43:48 | Waktu Scraping Total Waktu Scraping Ketiga Website : 195.06738543510437 detik | Banyak row : 192 | Banyak column : 7.0 
